mistreat хозяйка
smidgen чуточка
pied-a-terre временное
redundancy чрезмерность
wineglass бокал
unforgiving непрощающий
tradeswoman торговка
beholder зритель
avail польза
farm-hand сельскохозяйственный
standard-bearer знаменосец
beholden обязанный
impoverish доводить
housemaid горничная
aforethought преднамеренный
calibre калибр
frazil шуга
warming-pan грелка
abutment межа
tenderloin филей
jugglery жонглирование
resurrect воскресать
cantankerous сварливый
incuse вычеканенное
father-in-law свекр
palstave пальстаб
quack кряканье
butyric масляный
exhortative увещевательный
leicester лестер
sale-room аукционный
chloride хлорид
flag-day день
prison-breaker бежавший
longitude геогр
sneaky трусливый
pigeon голубь
guilder гульден
changeability переменчивость
ball-cartridge боевой
pernicious пагубный
double-meaning обманчивый
sorehead нытик
repossession повторное
fat-guts толстяк
circumstanced поставленный
boggy болотистый
down-draught нижняя
crystalloid кристаллоид
trouser-stretcher держатель
hoyden шумливая
racehorse скаковая
progenitress прародительница
nail-scissors ножницы
calendula ноготки
borsch борщ
carburetter карбюратор
rarity редкость
subornation подкуп
chicken цыпленок
footer футбол
air-freighter грузовой
patriarchate патриаршество
aviculture птицеводство
soulless бездушный
air-photography аэрофотосъемка
bogie тележка
toyshop магазин
timer хронометрист
transpiration испарина
vacillating колеблющийся
pericarditis перикардит
boliviano боливиано
muscle мускул
becalm успокаивать
caboose камбуз
semicolon точка
well-wisher доброжелатель
contiguity смежность
bibliolater книголюб
resurgence возрождение
twofold двойной
celibate холостяк
whence откуда
bachelor бакалавр
flue дымоход
aforementioned вышеупомянутый
dike-reeve заведующий
porcine свиной
mispronounce неправильно
balladry народные
press-clipping пресс-конференция
quantitative количественный
harness упряжь
sketch эскиз
stubbly пожнивный
unbuild разрушать
fatten откармливать
strum бренчание
misapplication неправильное
hypercritical слишком
off-centre периферийный
solemnization празднование
infatuation слепое
stubble жнивье
beautiful красивый
rectify исправлять
subsoil подпочва
diffusive распространяющийся
eventual возможный
reassert подтверждать
styling моделирование
notation нотация
dungy навозный
psycho-analyst специалист
palsy паралич
deseed удалять
strut важная
plantigrade стопоходящий
megahertz мегагерц
genet генетта
bettor бетти
torpids гребные
unwilled невольный
cantaloup канталупа
synagogue синагога
tracery узор
concessioner уступчивый
beekeeping пчеловодство
two-dimensional дву
valance подзор
footle болтовня
monitory предостерегающий
infringe нарушать
instigator подстрекатель
archery стрельба
sweeping уборка
oak-fig дубрава
basher убийца
anaconda анаконда
placidity спокойствие
red-blindness дальтонизм
rheumatic ревматический
native-grasses дикие
starve умирать
sottish отупевший
celery сельдерей
locking-finger тюремщик
worrier беспокойный
hydrocyanic цианистоводородный
ossification окостенение
worried озабоченный
kitchen кухня
post-postscript второй
creation создание
tea-cosy стеганый
terete цилиндрический
oft- oft-
absolution прощение
reporter докладчик
quadruplets четверо
chilean чилийский
marketing торговля
torture пытка
mistress венеция
freemason масон
polymeric полимерный
rheumatiz ревматология
bibliomania библиомания
landscape-painter пейзажист
burglarize совершать
reassess производить
wolfish волчий
canicular знойные
insubstantial нереальный
nonary группа
ordinal порядковый
nimbus нимб
variegate делать
litigant сторона
caucasian кавказский
vexatious сопряженный
dermatic воспаление
telecommunication дальняя
amends компенсация
glare ослепительный
terrestrial земной
deception обман
seacard картушка
recessional каникулярный
stencil шаблон
wish-bone бурда
tameable дикий
budget бюджет
lumberman лесоруб
actual фактически
son-in-law зять
tigerish тигриный
glass стекло
constipate вызывать
tape-record записывать
annulary безымянный
blotting-pad блокнот
dunce болван
gizmo штуковина
passivation пассивация
sabbatic субботний
trisect делить
assume принимать
aubergine баклажан
clumsiness неуклюжесть
jiggle покачивание
peat-coal торфяной
memory память
coyoting хищническая
rhinitis ринит
ambiance владеющий
intercede вступаться
annulate кольчатый
bashaw паша
disaster бедствие
dissection рассечение
obscuration помрачение
hitch толчок
starry звездный
overripe перезрелый
progeny потомство
aftra американская
sachem вождь
decompound перистосложный
decretory открытое
spitfire злючка
sure-fire безошибочный
deservedly заслуженно
sachet маленький
parent-teacher учительско-родительская
vomitive рвотное
winebowl чаша
cursive скоропись
discordant несогласный
dipping-needle рехнувшийся
stylist стилист
chlorine хлор
deferment отсрочка
stylish стильный
tilly тилли
re-deploy передислоцировать
sirup сизаль
marvel чудо
comradeship товарищеские
apple-brandy яблочная
colander дуршлаг
coadjutor коадъютор
kilkenny килкенни
underachieve работать
enfranchise предоставлять
valetudinarianism болезненность
nationalistic национальность
fencing огораживание
rebecca ребекка
gruelling изнурительный
rewarding стоящий
holier-than-thou ханжеский
funnel дымовая
never-dying неумирающий
regulate регулировать
facade фасад
skyer высоко
extant сохранившийся
gland железа
unblock открыть
skyey небесный
stockpiling накопление
air-gas карбюрированный
telethon многочасовая
two-forked раздвоенный
karate карате
air-gap зазор
enter входить
hogpen большая
steroid стероид
flowery убранный
flea-bitten искусанный
houseful полный
suckling грудной
immaculacy чистота
gavotte гавот
monochromatic однокрасочный
wretch несчастный
heliogravire гелиогравюра
creative творческий
outpoint победить
coast морской
yarrow тысячелистник
newsworthy достойный
over-expose передержать
agonic линия
overgild позолотить
pro-life возражающий
godfrey годфри
homesickness тоска
introspection интроспекция
open-faced имеющий
fmcs федеральная
bright яркий
planned плановый
roadman дорожный
shamrock кислица
expansionary экспансионистский
fetal эмбриональный
servitor слуга
stereotyped стереотипный
inunction втирание
anteprandial предобеденный
cockney кокни
congressman член
europium европий
assure уверять
emergent неожиданно
pretext предлог
gracious добрый
planner планировщик
candida кандида
easement удобство
money-bill финансовый
top-heavy перевешивающий
top-drawer высшее
dehumanize делать
grampian грампианские
declinator отклоняющий
capacitor конденсатор
downtime простой
evince проявлять
pitch-pipe камертон-дудка
serfhood крепостное
agoraphobic аграрный
agoraphobia боязнь
push-button кнопка
cine-film кинопленка
fetch сходить
candied цукаты
earldom титул
oasis оазис
audibly громко
endorsement индоссамент
compact соглашение
rostral ростральный
nitrous азотистый
possession владение
delator доносчик
medusa медуза
music-stool вращающийся
housemate сосед
oath-breaking нарушение
runaway беглец
disconnected разъединенный
provencal прованский
tank-farming гидропоника
audible слышный
caviller придирчивый
stylize изображать
glair яичный
unvarying неизменяющийся
depredation грабеж
poseur позер
maverick неклейменый
impressionable впечатлительный
avast стой
harelip заячья
auriferous золотоносный
fulgent блистающий
nimble проворный
sand-spout песчаный
ground-squirrel бурундук
euphem день
tubercle клубенек
acrostic акростих
flea-pit грязная
sabre-toothed саблезубый
jezebel иезавель
nettle-fish медуза
whiskery со
critical критический
deceptive обманчивый
gasolene газолин
post-grad аспирант
envision воображать
kill-time бессмысленное
shunless неизбежный
maying празднование
ownerless бесхозяйный
perspicuity ясность
nurse-child питомец
chummage помещение
dated датированный
vituperate бранить
exotic экзотический
resistive могущий
psychic духовный
segregationist сторонник
introduction введение
overtone обертон
tilth обработка
annals анналы
caesium цезий
revenge мщение
self-humiliation самоуничижение
intemperance несдержанность
platelayer путевой
utopia утопия
absolutism абсолютизм
fire-box огневая
thesaurus сокровищница
crescendo крещендо
manioc маниока
etcher гравер
gingerbread имбирный
phrenology френология
absolutist сторонник
thready нитяный
malfeasance злодеяние
storm-centre центр
kingly королевский
larkspur живокость
orrery планетарий
cheerless унылый
siren сирена
contracted обусловленный
skull-cap ермолка
underline линия
white-throat славка
underling мелкий
candyfloss сахарная
parliament парламент
viewing трибуна
peewit пэг
tessera кубик
fire-arm огнестрельное
gangland бандитский
retrieval возвращение
clyde р
exemplar образец
carpet-bag саквояж
memoir краткая
servitude рабство
paled огороженный
carefully бережно
duiker дукер
jojoba жожоба
strew разбрасывать
excogitate выдумывать
laudation панегирик
partisanship приверженность
buyer покупатель
ogam синус
three-handed происходящий
wide-ranging обширный
dulse темно-красная
fadeaway постепенное
attitude позиция
average среднее
substandard нестандартный
compare сравнивать
edulcorate очищать
pay-list выплата
pluralism совместительство
undemocratic антидемократический
vitrification превращение
technologist технолог
treatable поддающийся
cordage веревки
linkage сцепление
decarbonize обезуглероживать
enchiridion справочник
squabby короткий
elijah пророк
tabouret скамеечка
uncord развязывать
unlike непохожий
hirst нанос
pre-war довоенный
twin-birth рождение
override переехать
trews клетчатые
uncork откупоривать
jugoslavia шейный
business дело
blottesque написанный
tulwar кривая
astride верхом
amaranth щирица
constrained вынужденный
noontime полдень
logomachy пустое
outpace опережать
croesus крез
car-wash мойка
taxi-cab дансинг
inscribed именные
balsam бальзам
cupriferous медистый
grumble ворчанье
finical разборчивый
borrow занимать
romish римско-католический
desert пустыня
wainscot деревянная
confectioner кондитер
disembogue впадать
baal ваал
amour-propre самолюбие
trunnion цапфа
besiege осаждать
sack-coat широкое
desuetude неупотребительность
self-knowledge самопознание
poignancy острота
retriever охотничья
tautology тавтология
suppressor подавляющий
digestibility удобоваримость
reconvene снова
swing-door вращающаяся
synonymic синонимический
up-date модернизировать
chartered привилегированный
stray заблудившееся
railrolling железная
static статический
journey поездка
suiting материал
untidiness неопрятность
ssrc совет
tergal спинной
merchantman торговое
curvy соблазнительный
strap ремень
straw солома
mendacity лживость
aramaic арамейский
capricorn козерог
charterer фрахтователь
lolly лолли
zetland шетланд
acceptance принятие
cognizable познаваемый
oersted эрстед
impermeable непроницаемый
combination-room комбинационный
dressmaker портниха
pluralist плюралистичный
distract отвлекать
courtezan придворный
vigilante виджиланте
virtual фактический
upgrowth рост
mace булава
pastern бабка
talmud талмуд
back обратный
mach число
snow-white белоснежный
ms-dos майкрософт
machete мачете
caliche самородная
ferry перевоз
flesh-pot котел
company общество
carbonate углекислая
tress длинный
erudite эрудит
unyoke снимать
leaderette короткая
relax ослаблять
relay смена
trafficker торговец
babe непрактичный
monogamous моногамный
half-pounder предмет
defoliate лишенный
raccoon состязание
biochemistry биохимия
baby ребенок
fiendish дьявольский
ammonal аммонал
jemadar младший
showing показ
angora ангорская
gladys глэдис
briery колючий
cylindrical цилиндрический
relic след
back-talk дерзкий
disfiguration обезображивать
right-winger реакционер
attempt попытка
orogenesis горообразование
tiler мастер
look-out бдительность
re-enter снова
fructiferous плодоносящий
laudative хвалебный
ferreting перевоз
pickpocket вор-карманник
kick-off введение
dearly нежно
grubber полольщик
kindness доброта
peatmoss торфяной
pearl-oyster жемчужница
writing-pad блокнот
immaculate незапятнанный
petrochemistry нефтехимия
unwarrantable неоправданный
wide-open широко
hyaena кристально
made изготовленный
equestrienne всадница
kamikaze камикадзе
conciliation примирение
statue статуя
litigate судиться
chipper бодрый
uppish чванный
curry кэрри
inorganic неорганический
millenary тысячелетняя
pally дружеский
sideling наклонный
gelid ледяной
baec британская
water-skiing воднолыжный
beadleship должность
rock-hard очень
cryptogam тайнобрачное
nucleonics нуклеоника
substratum нижний
curse проклятие
hand-to-hand рукопашный
littleness малая
maniac маньяк
joyce джойс
boat-hook багор
counterbalance противовес
status статус
mechanistic механистический
nobility дворянство
imperious повелительный
mage маг
cannelloni трубочки
diffusion распространение
sportswoman спортсменка
curve кривая
enrol вносить
extraneous внешний
portugal португалия
razzmatazz дорога
albatross альбатрос
uncoil разматывать
baldwin болдуин
self-infection аутоинфекция
abomination отвращение
ferny поросший
joshua джошуа
condemnation осуждение
brewery пивоваренный
nurse няня
coalition коалиция
pristine древний
strop ремень
natality рождаемость
unthread вынуть
uppity поднимать
alcove альков
pavement тротуар
maharanee магарани
ogle влюбленный
peaked остроконечный
irregularity неправильность
dishallow осквернять
hectograph гектограф
rest-room комната
rottenness гнилость
supercool переохлаждать
quebec квебек
oxherd пастух
cheddar чеддер
cultivation возделывание
microelement микроэлемент
dearie дорогуша
inconsequent непоследовательный
ground-colour грунт
faroes фарерские
madhouse сумасшедший
insincere неискренний
stria полоска
colitis колит
bait приманка
mail заказ
stinging жалящий
perjured виновный
frustum усеченная
sway-beam балансир
balance-wheel маятник
cambist биржевой
galena свинцовый
main главная
sadness печаль
maim калечить
stumbling-block камень
bail залог
tutorage работа
headship руководство
revenue годовой
sufficiency обыкн
strip длинный
filmic кинематографический
gumboil флюс
bilingual двуязычный
perjurer клятвопреступник
pretense претензия
curtilage участок
credit доверие
maid служанка
spotty пятнистый
compositor наборщик
intensive интенсивный
fraudulent обманный
macaque макака
confrere собрат
small-minded мелочный
travesty пародия
calvish телячий
counterblast встречный
doll-like кукольный
niddle-noddle трясущийся
fire-bar колосник
odette одетта
storehouse склад
compass компас
pettifog заниматься
sorbet фруктовое
red-wing дрозд-белобровик
soloist солист
latticework решетка
scale-beam коромысло
tail-shaft гребной
chippie зазубренный
tilda тилда
paraplegia параплегия
salvador спасение
torpedo-net противоминная
fidelity верность
paraplegic страдающий
ellen эллен
tilde тильда
house-fly комнатная
angola ангола
balk окантованное
ball шар
mondial мировой
cambium камбий
bale кипа
redouble усиливать
racegoer любитель
case-hardened закаленный
oversleep проспать
bald лысый
rentier рантье
trousered одетый
fulfil выполнять
make делать
rainless засушливый
spindle веретено
categorize распределять
palmy пальмовый
unassailable неприступный
bestead помогать
toilsome трудный
gregory грегори
double-edged обоюдоострый
mal- mal-
nightshirt ночная
white-hot раскаленный
extortionate вымогательский
hummock холмик
ironmonger торговец
handbell колокольчик
spindly длинный
detractive умаляющий
admittance доступ
barytone баритон
intensity интенсивность
vicegerent наместник
bullfighter тореадор
puffy запыхавшийся
bake печь
nidify гнездо
waking бодрствующий
self-aggrandizement стремление
race-suicide вымирание
mill-dam мельничная
non-party беспартийный
mollification смягчение
night-time ночное
harvest-mite жнец
gambade прыжок
dearth нехватка
dip-net небольшая
incorrigible неисправимый
vacillation колебание
elmer элмер
hiding порка
predicate сказуемое
bank английский
dejection подавленное
schmaltz сентиментальная
supernova сверхновая
bang удар
chokidar сторож
meaning значение
slimline тонкий
rostrum трибуна
bane отрава
exoticism экзотичность
band объединять
grey-hen тетерка
mama мам
beneficent благодетельный
honoris за
mishit промах
mali мали
koran коран
didacticism дидактизм
hamster хомяк
malm мальм
mall место
walking-ticket экскурсия
hijacking ограбление
intersperse разбрасывать
self-explanatory самоочевидный
shortcoming недостаток
torch-song сентиментальная
allied родственный
unruffled гладкий
balm бальзам
celerity быстрота
porphyry порфир
capillarity капиллярность
malt солод
hyperacoustic сверхзвуковой
vastly значительно
illusionist иллюзионист
poor-rate налог
alternator генератор
opalescent опаловый
shadow-boxing тренировочный
forget-me-not незабудка
capsize опрокидывать
tender-hearted добрый
male мужчина
ogre великан-людоед
laburnum ракитник
puddening кранец
duodenitis воспаление
latitude широта
alderman ольдермен
cappuccino кофе
muddle-headed бестолковый
landfill закапывание
uproar шум
misbelief ложное
remember помнить
love-making ухаживание
inutile бесполезный
stumpy коренастый
freighter фрахтовщик
netherlandish нидерландский
warbler певчая
twinkle мерцание
atrocity жестокость
expression выражение
re-creation создание
childhood детство
star звезда
respecter уважающий
many многие
gordon гордон
manx бесхвостая
misrule беспорядок
wassailing святочное
communiontable престол
entrepreneur антрепренер
stay оставаться
off-balance неуравновешенный
stag олень-самец
stab удар
foster-mother кормилица
inspire внушать
bogey страшилище
legitimize безногий
mane грива
progress прогресс
warrant-officer уорентофицер
coequal равный
barb ость
delectable восхитительный
operable действующий
treas казначей
treat удовольствие
water-pipe водопроводная
abortion преждевременное
uninsured незастрахованный
navigator мореплаватель
numbers мошенничество
psychopathic психопатный
toilet-service туалетный
hexagon шестиугольник
inapplicability неприменимость
glockenspiel металлофон
affectation притворство
swivel-eyed косящий
nominate выставлять
specs очки
emboss выбивать
tread поступь
barm пивные
imperil подвергать
barn амбар
dynasty династия
nuclear-free безъядерный
bark кора
speck пятнышко
power-plant силовая
well-done хорошо
bare голый
palpitating животрепещущий
bard бард
chenille синель
railhead временный
mouth-organ губная
tanadar начальник
itch-mite чесоточный
hefty дюжий
barling жердь
countdown отсчет
etymology этимология
predicant проповедник
gentlewoman дама
seedy наполненный
modification видоизменение
duress лишение
flip-flap хлопающие
impassivity бесстрастие
korea корея
chow-chow смесь
ferromagnetic ферромагнитный
tragedian трагик
cushy легкий
smithy кузница
leopardess самка
colombian колумбийский
unceremonious простой
columbian колумбийский
rhenium рений
palmcrist паломник
mast плодокорм
mass масса
admin управление
mope-eyed близорукий
contemptible презренный
bast лыко
speed скорость
zemindar земельный
auction аукцион
admit допускать
rock-salt каменная
uneven неровный
conurbation большой
mash сусло
detraction умаление
rattletrap рот
sternum грудина
water-service водоснабжение
cordate сердцевидный
bath ванна
bate убавлять
admix примешивать
mask маска
percolator процеживатель
trephine производить
unlive изменить
cam-shaft распределительный
mart рынок
stew тушеное
mars марс
palpitation сильное
bodybuilder человек
mary мэри
raspberry-cane кусты
bart барт
moreen плотная
scribe писец
bass окунь
noctambulant сомнамбулический
mare кобыла
franciscan францисканский
groundsel крестовник
marc машинно-читаемый
landing-place место
abacus счеты
bask греться
blackstrap дешевый
bash удар
blood-curding ужасный
step шаг
sunshade зонтик
marl мергель
puff-box пудреница
dancing-hall дансинг
mark марк
base основа
stem ствол
impedimenta войсковое
mussulman мусульманин
distrain накладывать
trend направление
versatility многосторонность
agonized мучительный
repayable подлежащий
tom-cat кот
moraine морена
insect-powder порошок
ozokerite озокерит
caseous творожистый
maud серый
carbonari карбонарии
incentive побуждение
jugate парный
maul кувалда
mishap неудача
maun говорить
near-beer безалкогольное
quince айва
nonviolence отказ
legitimist легитимист
matt матовый
compartmentalize делить
distichous расположенный
maty мод
orography орография
burial-ground кладбище
disreputation дурная
sanies ихорозный
priceless бесценный
oared весельный
trent р
betsey бетси
dedicatory посвятительный
disorient дезориентировать
mate мат
glittery блестящий
missionary миссионер
earless безухий
math амер
stated установленный
contractor подрядчик
priggish педантичный
spanking сильные
forehead лоб
lodgement жилище
epiphyte эпифит
cruciform крестообразный
across поперек
antagonistic антагонистический
wisteria глициния
illumine освещать
lipsalve гигиеническая
noontide полдень
queasy слабый
unacknowledged непризнанный
maestoso маэстозо
europe европа
solitude одиночество
bawd сводня
disagreement расхождение
share-list фондовая
unroyal некоролевский
sperm сперма
guest-chamber комната
tillable пахотный
mohammed мухаммед
opinion мнение
weakling слабый
soldier солдат
devotion преданность
bawl крик
stir стерлингшир
rhenish рейнский
escort провожатый
first-night премьера
wine-cellar винный
wedding-dress подвенечное
baza восточный
existence существование
pretence отговорка
feculence муть
maze лабиринт
disputatious любящий
unsusceptible невосприимчивый
expressive выразительный
whacky кит
duck-boards дощатый
glyptic глиптический
mayo майонез
exaggerate преувеличивать
tusker слон
curtain-fire огневая
upturn подъем
locution выражение
spell заклинание
interrogatory вопрос
perfectionist взыскательный
flagellation бичевание
well-doer добродетельный
perfectionism доктрина
mazarine темносиний
out-talk заговорить
concerto концерт
spelt пшеница
enshroud закутывать
turtle-dove горлица
weaver ткач
counter-claim встречный
lutestring парижский
commence начинать
kerseymere кашемир
conductmoney оплата
configuration конфигурация
crossstitch вышивка
oarer гребец
stol аэропорт
new-found вновь
unwind разматывать
platform платформа
enmity вражда
sojourn временное
adman сотрудник
childly детский
virago сварливая
provenance происхождение
spend тратить
out-take купюра
circassian черкесский
gilt-edged надежные
cubism кубизм
degrade приходить
dammar даммара
fairness справедливость
mazy запутанный
monolithic монолитный
biodiversity биологическая
martyr мученик
stowage складывание
undaunted неустрашимый
spent истощенный
stephen стив
cross-check перепроверять
moroccan марокканский
wincey прочная
abortive абортивное
mispronunciation неправильное
unlink разъединять
watering поливка
low-down низкий
honky-tonk дешевый
impersonator создатель
ministerialist сторонник
blue-berry черника
fabricate выдумывать
uproot вырывать
apyrous несгораемый
seduce соблазнять
temporary временный
mayhem нанесение
nuncupate делать
sacrament таинство
unwarned непредупрежденный
anguish мука
back-blow неожиданный
refraction преломление
pectin пектин
oscillation качание
understanding понимание
fairy фея
hermit отшельник
film-strip диафильм
osier ива
depolarise деполяризовать
ragged неровный
remedial лечебный
sanctuary святилище
psychobabble невнятный
stir-fry жарить
orbicular сферический
milter рыба-самец
horse-breaking объездка
version версия
arbutus земляничное
cocoa какао
refracting телескоп-рефрактор
treasure-house сокровищница
forelock прядь
loony сумасшедший
staunch верный
coeval сверстник
stop остановка
whitebait малек
flirt кокетка
retroactive касающийся
sharp-witted умный
prudence благоразумие
sea-calf тюлень
stow укладывать
insoluble нерастворимый
immediately непосредственно
quarterback защитник
backwoodsman обитатель
hoodlum хулиган
obelisk обелиск
columbine коломбина
clannish родовой
naturalize натурализовать
stump пень
typify быть
previse предвидеть
cultivated обрабатываемый
dissolubility растворимость
darwinism дарвинизм
relievenature испражняться
moonbeam полоса
tyrone тирон
back-pedal тормозить
allcomers открытое
frumpish старомодно
creche детские
vendible годный
characterize характеризовать
stunt остановка
mealtime время
wraith дух
heart-break большое
severe строгий
tearing неистовый
brazil-nut американский
evaporated сгущенный
augural предвещающий
severn р
wire-haired жесткошерстный
cocky самоуверенный
black-listing занесение
fork-lift грузоподъемник
stud гвоздь
amity дружеские
garnish гарнир
pondage емкость
fling бросание
stun оглушать
caddie саржа
recumbency лежачее
stum муст
air-hole отдушина
bifurcation раздвоение
truncheon жезл
dimorphous ямочка
nitrogenous азотный
stub пень
bellyful достаточное
kindle зажигать
explicative объяснительный
faint обморок
dhhs министерство
reliefer получающий
wieldly легко
nine-killer сорокопут
plonk шум
cephalic головной
kindly добрый
cycle-car малолитражный
subtropical субтропический
loose свободный
flint флинт
lady-smock сердечник
loathsome вызывающий
cod-fish рыбий
lasting длительный
ghanaian относящийся
regionalism деление
largish довольно
narcotic наркотик
cordovan кордовская
recuperator рекуператор
basely низко
platitudinous плоский
case-history история
stroller прогуливающийся
limbering-up разминка
duodecimo формат
scholastic учительский
non-acceptance непринятие
pageant пышное
direction-finder радиопеленгатор
interosculation взаимопроникновение
wagon-train обоз
bullfrog лягушка-бык
chick-weed песчанка
slippery скользкий
vintager сборщик
vouch ручаться
antiknock антидетонатор
anguine змеевидный
betray предавать
apropos своевременный
skinner скорняк
slacker лодырь
trier тот
decorate украшать
gutless робкий
occupation занятие
aforegoing предшествующий
heigh оклик
sklent неправда
slacken ослаблять
wfuna всемирная
ringleader главарь
water-repellent водостойкий
usurious ростовщический
pipage перекачка
tried испытанный
siamese сиамский
herman герман
outbreak взрыв
disjoin разъединять
stye стигийский
auto-da-fe аутодафе
pustule пустула
astragal астрагал
cultivator тот
seventy семьдесят
arch-enemy заклятый
byelorussia белоруссия
allegiance верность
tercentenary трехсотлетняя
thoroughness основательность
leopard леопард
anglo- anglo-
seventh седьмой
coyote луговой
liaise поддерживать
electropathy электролечение
hollander голландец
supercilious высокомерный
thumb-nail ноготь
erstwhile прежний
dhow одномачтовое
guard-rail перила
wooer поклонник
retroaction обратная
umania румыния
debility слабость
whaleman китолов
malediction проклятие
cosmogony космогония
moire муар
dehiscent раскрывающийся
conversance осведомленность
mowing-machine косилка
confoundedly чрезвычайно
elucidate объяснять
antarctic антарктический
walnut-tree вальпургиева
elope сбежать
thoroughly вполне
television телевидение
superette небольшой
nonesuch нонет
overpast прошедший
unprocurable недоступный
petticoat нижняя
elevenses легкий
overpass эстакада
styx стикс
statelet маленькое
ambergris серая
caddis веснянка
latvian латвийский
flier полет
spinach шпинат
trias триас
dulcimer цимбалы
screed длинная
spice специя
chops изменения
hat-check гардеробщица
pedagogy педагогика
screen ширма
seaworthy обладающий
obelize отмечать
autonomous автономный
vibration вибрация
psychosis психоз
trial испытание
water-carriage водный
saturation насыщение
spelter технический
gastronomer гастрономический
rosehip плод
bridle узда
buddha будда
letterless необразованный
libellous клеветнический
triad что-л
hiccough икота
hermes гермес
darwinist десять
entrance вход
moist сырой
motley разноцветный
victorian викторианский
gastronome гастроном
spick безупречно
amelia амелия
bridging ссуда
